rtid,tid,from,to
1001317083974545413,1001141306775687175,1569975595,296612629
1001317127477870592,1001180489171038208,583895882,1368737382
1001317471679270912,1001294221066756096,731907297161691136,332188446
1001317693402722306,1001292216961155072,930033167523704832,936695288
1001317719642341376,1001168924552192000,172029856,885356264
1001317804329517056,1001274651664928768,2964427611,50279201
1001317834608201728,1001310785866362884,3213483091,102058620
1001317849208578048,1001180489171038208,2399735526,1368737382
1001317865377579009,1001310785866362884,2964427611,102058620
1001318040871432193,1001310337801637899,961835953806483456,141208596
1001318046441590784,1001249253942022144,803194944,16653237
1001318059716444160,1001310207379681287,961835953806483456,141208596
1001318390357635072,1001180489171038208,79121201,1368737382
1001318730423386112,1001085541671100418,402576793,59983585
1001318844948926465,1001085541671100418,2416344392,59983585
1001319029620043779,1001292216961155072,3221074897,936695288
1001319217122037762,1001180489171038208,796065610807447552,1368737382
1001319340715556865,1001085541671100418,991578121101918208,59983585
1001319558404128768,1001270512482316289,54099595,39462584
1001319720983801856,1000997624948944896,803601911664537600,1153045459
1001319733298376704,1001138684748533761,146687597,21853673
1001319923048574978,1001319821210877952,283632721,85462891
1001319925145743360,1001319821210877952,137352341,85462891
1001319954539581445,1001319821210877952,356317404,85462891
1001319967252336643,1001319821210877952,905271892327661569,85462891
1001320044499013638,1000997624948944896,2976768394,1153045459
1001320074999840768,1001274651664928768,365398076,50279201
1001320135947243520,1001319821210877952,53320016,85462891
1001320139457871872,1001319821210877952,59122692,85462891
1001320160836251648,1001319821210877952,802004640,85462891
